protocol,packet_length,source_port,destination_port,flags,label,,
17,146,4894,53,0,0,,
6,4704,52671,31992,27,0,,
6,13662,47290,6881,27,0,,
17,146,43310,53,0,0,,
17,130,45870,53,0,0,,
6,320,10731,48138,27,0,,
6,424,41384,30872,27,0,,
6,8928,12693,54121,27,0,,
6,2487,9788,21,25,0,,
6,160,43944,8088,18,1,,
17,146,44802,53,0,0,,
17,130,11836,53,0,0,,
6,7816,13472,143,27,0,,
6,190514,4481,445,19,1,,
6,3926,35126,42111,27,0,,
6,160,61489,8088,18,1,,
6,3614,15289,13221,27,0,,
6,2542,33935,15084,27,0,,
6,4014,37579,14085,27,0,,
17,528,64042,15886,0,0,,
17,568,37816,111,0,0,,
6,13662,57079,6881,27,0,,
6,3808,63095,17771,27,0,,
6,24448,36234,22,27,0,,
17,146,22146,53,0,0,,
6,37258,24753,25,27,0,,
6,160,62319,8088,18,1,,
17,146,1143,53,0,0,,
17,146,65441,53,0,0,,
6,2542,23486,62924,27,0,,
6,874,21880,179,19,1,,
6,4014,60946,58917,27,0,,
6,1684,10632,80,27,0,,
6,25472,30350,6881,27,0,,
6,2278,51870,25,27,1,,
6,160,60013,8088,18,1,,
17,146,54613,53,0,0,,
17,146,30679,53,0,0,,
6,10894,17453,5190,27,0,,
6,3926,52553,60764,27,0,,
17,1064,5075,520,0,1,,
17,146,33219,53,0,0,,
6,3614,1906,54053,27,0,,
6,160,58093,8088,18,1,,
17,146,5210,53,0,0,,
6,25160,50690,6881,27,0,,
6,37346,2056,25,27,0,,
6,1684,59167,80,27,0,,
6,2542,42705,47797,27,0,,
6,2542,44534,8192,27,0,,
6,4014,44235,6440,27,0,,
6,4014,39878,44133,27,0,,
17,146,39870,53,0,0,,
17,512,14055,9984,0,0,,
17,568,40125,111,0,0,,
6,195058,25751,445,19,1,,
6,160,43961,8088,18,1,,
6,1287,52547,21,17,1,,
6,10686,22542,5190,27,0,,
6,37258,6884,25,27,0,,
6,2542,14834,34501,27,0,,
6,4392,15238,13861,27,0,,
6,24224,53676,6881,27,0,,
17,130,16537,53,0,0,,
6,2542,37187,16097,27,0,,
6,4014,16291,14448,27,0,,
6,160,62825,8088,18,1,,
17,146,18930,53,0,0,,
6,4014,36497,15320,27,0,,
6,2430,13979,80,19,1,,
17,146,55832,53,0,0,,
17,104,36547,520,0,1,,
17,146,23731,53,0,0,,
6,37346,55440,25,27,0,,
6,9504,30213,22,27,0,,
17,146,60812,53,0,0,,
6,24552,2480,22,27,0,,
6,24606,33050,6881,27,0,,
17,146,26654,53,0,0,,
6,2542,28521,16858,27,0,,
6,4014,30127,28086,27,0,,
17,130,31001,53,0,0,,
6,876,9084,179,19,1,,
6,1684,11968,80,27,0,,
6,7810,18043,143,27,0,,
17,130,52779,53,0,0,,
6,160,48638,8088,18,1,,
17,146,2005,53,0,0,,
6,1684,64554,80,27,0,,
6,10998,26220,5190,27,0,,
17,528,12256,51427,0,0,,
17,568,39757,111,0,0,,
6,3808,35076,12038,27,0,,
6,1580,56432,80,27,0,,
17,528,44531,34914,0,0,,
17,568,7482,111,0,0,,
6,3808,39585,44354,27,0,,
17,130,4535,53,0,0,,
6,199602,21303,445,19,1,,
6,1580,56312,80,27,0,,
6,2542,10113,39395,27,0,,
17,1064,3907,520,0,1,,
6,4014,11707,39402,27,0,,
6,2311,2243,21,17,1,,
17,146,41135,53,0,0,,
6,2054,31723,5190,27,0,,
6,3926,13857,41206,27,0,,
6,3614,34720,34956,27,0,,
6,860,38776,80,19,1,,
6,1684,28174,80,27,0,,
6,3926,34402,34543,27,0,,
6,160,62983,8088,18,1,,
6,3614,36006,34005,27,0,,
17,146,17037,53,0,0,,
17,528,21216,37827,0,0,,
17,568,19685,111,0,0,,
6,223030,36208,25,27,1,,
17,146,1482,53,0,0,,
6,2542,21551,59917,27,0,,
6,4014,23066,65129,27,0,,
6,4224,60079,65054,27,0,,
6,10686,45185,5190,27,0,,
6,1580,3543,80,27,0,,
6,3926,28197,22888,27,0,,
6,3614,52106,55024,27,0,,
17,146,54347,53,0,0,,
17,146,55187,53,0,0,,
17,146,51457,53,0,0,,
6,4030,53395,30383,27,0,,
6,18890,19847,80,27,0,,
6,3614,52874,50944,27,0,,
17,146,33777,53,0,0,,
6,1580,40639,80,27,0,,
6,160,63411,8088,18,1,,
6,37346,46752,25,27,0,,
6,9608,3175,22,27,0,,
6,4030,48263,52691,27,0,,
6,3614,5912,3847,27,0,,
17,146,43008,53,0,0,,
17,104,60481,520,0,1,,
17,146,45636,53,0,0,,
6,1574,30751,80,27,1,,
6,160,64043,8088,18,1,,
17,146,14519,53,0,0,,
6,7816,54082,143,27,0,,
